"Статус сверки";"Артикул";"Номенклатура Excel";"Номенклатура 1С";"Единица Excel";"Единица 1С";"Тип Excel";"Вид номенклатуры 1С";"Тип номенклатуры 1С";"Плановая цена Excel";"Плановая цена 1С";"Дата цены 1С";"Ассортимент Excel";"Ассортимент 1С";"Группировка бренда Excel";"Группировка бренда 1С"
"OK";"NUDI00149";"NUDIBRANCHES  Мерцающий блеск для губ  Pick-a-Bloom, 3,5 мл";"NUDIBRANCHES  Мерцающий блеск для губ  Pick-a-Bloom, 3,5 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"NUDI00052";"NUDIBRANCHES  Нежная пенка для чистки зубов со вкусом жвачки NO TROUBLE BUBBLE, 50 мл";"NUDIBRANCHES  Нежная пенка для чистки зубов со вкусом жвачки NO TROUBLE BUBBLE, 50 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"NUDI00150";"NUDIBRANCHES  Нежно-розовый блеск для губ Pick-a-Bloom, 3,5 мл";"NUDIBRANCHES  Нежно-розовый блеск для губ Pick-a-Bloom, 3,5 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"NUDI00174";"NUDIBRANCHES  Стик-воск для волос с ароматом сочной мандаринки, 15 мл";"NUDIBRANCHES  Стик-воск для волос с ароматом сочной мандаринки, 15 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"NUDI00151";"NUDIBRANCHES  Ярко-розовый блеск для губ Pick-a-Bloom, 3,5 мл";"NUDIBRANCHES  Ярко-розовый блеск для губ Pick-a-Bloom, 3,5 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"NUDI00136";"NUDIBRANCHES Жидкие тени для век с разноцветным сиянием PEARL WINK, 3,5 мл";"NUDIBRANCHES Жидкие тени для век с разноцветным сиянием PEARL WINK, 3,5 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"NUDI00135";"NUDIBRANCHES Жидкие тени для век с розовым сиянием PEARL WINK, 3,5 мл";"NUDIBRANCHES Жидкие тени для век с розовым сиянием PEARL WINK, 3,5 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"NYM001";"NYM Крем для тела с камфорой, 250 мл";"NYM Крем для тела с камфорой, 250 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"113.28";"113,28";"2025-12-17T16:23:50";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"NYM002";"NYM Лосьон для занятия йогой, 200 мл";"NYM Лосьон для занятия йогой, 200 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"64.23";"64,23";"2025-12-17T16:23:50";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"OMF004";"O! My face Сыворотка  для лица с фруктовыми кислотами 30 мл";"O! My face Сыворотка  для лица с фруктовыми кислотами 30 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"31.4";"31,4";"2025-12-17T16:23:50";"АРХИВ";"АРХИВ";"СТМ";"СТМ"
"OK";"OMF002";"O! My face Сыворотка для лица Ретинол и Гиалуроновая кислота 30 мл";"O! My face Сыворотка для лица Ретинол и Гиалуроновая кислота 30 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"31.75";"31,75";"2025-12-17T16:23:50";"АРХИВ";"АРХИВ";"СТМ";"СТМ"
"OK";"OMF003";"O! My face Сыворотка для лица увлажняющая Гиалуроновая кислота и Алоэ 30 мл";"O! My face Сыворотка для лица увлажняющая Гиалуроновая кислота и Алоэ 30 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"31.13";"31,13";"2025-12-17T16:23:50";"АРХИВ";"АРХИВ";"СТМ";"СТМ"
